Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
RAPT4;RANDON PART;PN   N1;RAPT4.SA;Não;Ação
RCSL3;RECRUSUL;ON;RCSL3.SA;Não;Ação
RDOR3;REDE D OR;ON   NM;RDOR3.SA;Sim;Ação
ROMI3;ROMI;ON   NM;ROMI3.SA;Não;Ação
RAIL3;RUMO S.A.;ON   NM;RAIL3.SA;Sim;Ação
SBSP3;SABESP;ON   NM;SBSP3.SA;Sim;Ação
SAPR11;SANEPAR;UNT  N2;SAPR11.SA;Não;Ação
SANB11;SANTANDER BR;UNT;SANB11.SA;Sim;Ação
STBP3;SANTOS BRP;ON   NM;STBP3.SA;Não;Ação
SMTO3;SAO MARTINHO;ON   NM;SMTO3.SA;Sim;Ação
SEQL3;SEQUOIA LOG;ON   NM;SEQL3.SA;Não;Ação
SEER3;SER EDUCA;ON   NM;SEER3.SA;Não;Ação
CSNA3;SID NACIONAL;ON;CSNA3.SA;Sim;Ação
SIMH3;SIMPAR;ON   NM;SIMH3.SA;Não;Ação
SQIA3;SINQIA;ON   NM;SQIA3.SA;Não;Ação
SLCE3;SLC AGRICOLA;ON   NM;SLCE3.SA;Sim;Ação
SMFT3;SMART FIT;ON   NM;SMFT3.SA;Não;Ação
SULA11;SUL AMERICA;UNT  N2;SULA11.SA;Não;Ação
SUZB3;SUZANO S.A.;ON   NM;SUZB3.SA;Sim;Ação
SYNE3;SYN PROP TEC;ON   NM;SYNE3.SA;Não;Ação
TAEE11;TAESA;UNT  N2;TAEE11.SA;Sim;Ação
TASA4;TAURUS ARMAS;PN   N2;TASA4.SA;Não;Ação
TRAD3;TC;ON   NM;TRAD3.SA;Não;Ação
TECN3;TECHNOS;ON   NM;TECN3.SA;Não;Ação
TCSA3;TECNISA;ON   NM;TCSA3.SA;Não;Ação
TGMA3;TEGMA;ON   NM;TGMA3.SA;Não;Ação
VIVT3;TELEF BRASIL;ON;VIVT3.SA;Sim;Ação
TEND3;TENDA;ON   NM;TEND3.SA;Não;Ação
TSLA34;TESLA INC;DRN;TSLA34.SA;Não;Ação
TIMS3;TIM;ON   NM;TIMS3.SA;Sim;Ação
